"Source:","/home/andrey/Downloads/Radio_SI4735-main/SI4735.kicad_sch"
"Date:","Сб 22 окт 2022 23:03:00"
"Tool:","Eeschema 6.0.2"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","42"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"12","1","J4","Conn_01x03_Male","Connector:Conn_01x03_Male","Connector_PinSocket_2.54mm:PinSocket_1x03_P2.54mm_Vertical","~"
"13","1","J5","Conn_01x02_Male","Connector:Conn_01x02_Male","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~"
"14","1","J6","Conn_01x06_Male","Connector:Conn_01x06_Male","Connector_PinSocket_2.54mm:PinSocket_1x06_P2.54mm_Vertical","~"
"15","2","L1, L2","L","Device:L","Inductor_THT:L_Radial_D6.0mm_P4.00mm","~"
"16","4","R1, R2, R3, R13","100R","Device:R","Resistor_SMD:R_1206_3216Metric","~"
"17","3","R4, R5, R6","10k","Device:R","Resistor_SMD:R_1206_3216Metric","~"
"18","2","R7, R8","0.2k","Device:R","Resistor_SMD:R_1206_3216Metric","~"
"19","3","R10, R12, R14","4.7k","Device:R","Resistor_SMD:R_1206_3216Metric","~"
"20","1","R11","4.7k","Device:R","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal","~"
"21","1","U1","AMS1117-3.3","Regulator_Linear:AMS1117-3.3","Package_TO_SOT_SMD:SOT-223-3_TabPin2","http://www.advanced-monolithic.com/pdf/ds1117.pdf"
"22","1","U2","Si4735-D60-GU","RF_AM_FM:Si4735-D60-GU","Package_SO:SSOP-24_3.9x8.7mm_P0.635mm","http://www.silabs.com/Support%20Documents/TechnicalDocs/Si4730-31-34-35-D60.pdf"
"23","1","U3","AMS1117-5.0","Regulator_Linear:AMS1117-5.0","Package_TO_SOT_SMD:SOT-223-3_TabPin2","http://www.advanced-monolithic.com/pdf/ds1117.pdf"
"24","1","Y1","32.768kHz","Device:Crystal","Crystal:Crystal_Round_D3.0mm_Vertical","~"
